player_club,age,position,nationality,player_height,strong_foot,contract_value_time,appearances,PPG,substitutions_on,substitutions_off,goals_conceded,clean_sheet,market_value,minute_per_game,goal_per_game,assist_per_game
1,30.0,Defender,209,1.91,left,0.0,11.0,2.36,0.0,1.0,0.0,0.0,20000.0,89.45454545,0.1818181818181818,0.0
428,30.0,Defender,208,1.88,right,2.0,7.0,2.71,3.0,1.0,0.0,0.0,38000.0,59.71428571,0.2857142857142857,0.0
417,36.0,Defender,211,1.83,right,1.0,8.0,2.75,1.0,0.0,0.0,0.0,1000.0,79.375,0.125,0.25
407,33.0,Defender,207,1.84,right,1.0,6.0,2.17,4.0,0.0,0.0,0.0,7000.0,41.5,0.0,0.0
1,33.0,Defender,210,1.87,left,1.0,6.0,1.0,2.0,0.0,0.0,0.0,400.0,63.5,0.0,0.0
1,27.0,Defender,205,1.9,right,5.0,1.0,1.5143660090423348,0.0,1.0,0.0,0.0,3000.0,59.0,0.0,0.0
1,31.0,Defender,209,1.93,left,1.0,10.0,1.3,1.0,0.0,0.0,0.0,3500.0,88.5,0.0,0.0
416,23.0,Defender,209,1.82,right,2.0,9.0,2.33,5.0,0.0,0.0,0.0,20000.0,49.77777778,0.0,0.1111111111111111
1,26.0,Defender,208,1.87,right,1.0,15.0,1.13,0.0,1.0,0.0,0.0,900.0,0.087,0.0666666666666666,0.0666666666666666
411,27.0,Defender,187,1.75,left,2.0,2.0,2.0,1.0,1.0,0.0,0.0,35000.0,39.5,0.0,0.0
428,34.0,Defender,208,1.78,right,2.0,7.0,2.43,3.0,1.0,0.0,0.0,13000.0,55.71428571,0.0,0.0
1,25.0,Defender,208,1.74,right,2.0,2.0,1.5,0.0,2.0,0.0,0.0,500.0,78.5,0.0,0.0
1,34.0,Midfielder,186,1.75,right,1.0,1.0,3.0,0.0,0.0,0.0,0.0,450.0,90.0,0.0,0.0
1,24.0,Midfielder,210,1.71,right,3.0,11.0,1.36,2.0,1.0,0.0,0.0,2900.0,77.09090909,0.0,0.0
428,33.0,Midfielder,202,1.8,right,1.0,9.0,2.33,3.0,2.0,0.0,0.0,12000.0,66.77777778,0.1111111111111111,0.0
419,27.0,Midfielder,209,1.73,right,5.0,10.0,2.5,5.0,2.0,0.0,0.0,20000.0,50.6,0.0,0.1
407,26.0,Midfielder,207,1.77,right,5.0,9.0,2.33,7.0,1.0,0.0,0.0,55000.0,34.66666667,0.0,0.0
422,24.0,Midfielder,202,1.9,right,4.0,10.0,1.9,7.0,2.0,0.0,0.0,20000.0,33.3,0.2,0.1
1,23.0,Midfielder,209,1.7,left,3.0,8.0,0.88,0.0,2.0,0.0,0.0,15000.0,88.625,0.0,0.0
1,23.0,Midfielder,208,1.8,left,1.0,2.0,1.5143660090423348,2.0,0.0,0.0,0.0,350.0,17.5,0.0,0.0
428,33.0,Midfielder,204,1.81,right,1.0,6.0,2.67,1.0,3.0,0.0,0.0,45000.0,67.33333333,0.1666666666666666,0.1666666666666666
428,30.0,Midfielder,206,1.73,left,2.0,10.0,2.4,2.0,1.0,0.0,0.0,70000.0,72.6,0.1,0.3
427,25.0,Midfielder,198,1.7,both,3.0,6.0,2.33,4.0,2.0,0.0,0.0,40000.0,21.0,0.1666666666666666,0.1666666666666666
382,25.0,Midfielder,180,1.82,left,4.0,15.0,2.07,8.0,4.0,0.0,0.0,1500.0,41.6,0.3333333333333333,0.0666666666666666
1,32.0,Midfielder,186,1.73,right,1.0,3.0,3.0,0.0,0.0,0.0,0.0,600.0,90.0,0.0,0.0
411,29.0,Forward,208,1.7,right,1.0,7.0,2.29,4.0,3.0,0.0,0.0,35000.0,34.71428571,0.1428571428571428,0.1428571428571428
1,28.0,Forward,200,1.73,right,2.0,4.0,0.75,2.0,1.0,0.0,0.0,700.0,48.5,0.0,0.0
426,28.0,Forward,202,1.83,left,1.0,5.0,2.0,5.0,0.0,0.0,0.0,60000.0,20.0,0.2,0.0
1,33.0,Forward,175,1.79,left,0.0,11.0,1.73,0.0,4.0,0.0,0.0,12000.0,87.27272727,0.0909090909090909,0.3636363636363636
428,24.0,Forward,208,1.71,left,3.0,8.0,2.25,5.0,2.0,0.0,0.0,150000.0,50.5,0.125,0.25
1,27.0,Forward,208,1.67,left,2.0,10.0,2.2,0.0,9.0,0.0,0.0,3200.0,81.4,0.1,0.3
1,27.0,Forward,208,1.75,left,1.0,10.0,1.1,4.0,4.0,0.0,0.0,18000.0,57.9,0.0,0.0
1,24.0,Forward,200,1.67,left,3.0,5.0,2.0,3.0,3.0,0.0,0.0,900.0,29.8,0.0,0.0
411,27.0,Forward,207,1.75,right,3.0,10.0,2.3,6.0,3.0,0.0,0.0,55000.0,32.1,0.0,0.0
1,23.0,Forward,198,1.83,right,2.0,2.0,1.5143660090423348,2.0,0.0,0.0,0.0,200.0,8.0,0.0,0.0
425,33.0,Defender,205,1.95,right,0.0,10.0,2.7,0.0,0.0,0.0,0.0,30000.0,90.0,0.1,0.0
425,27.0,Defender,208,1.88,right,3.0,4.0,3.0,3.0,0.0,0.0,0.0,28000.0,27.75,0.0,0.0
379,35.0,Defender,199,1.88,right,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1000.0,90.0,0.0,0.0
425,30.0,Defender,167,1.78,left,2.0,10.0,2.7,2.0,5.0,0.0,0.0,30000.0,68.7,0.0,0.0
1,32.0,Defender,209,1.71,left,1.0,9.0,1.0,0.0,3.0,0.0,0.0,1800.0,85.66666667,0.0,0.0
425,26.0,Defender,208,1.75,right,1.0,10.0,2.7,0.0,6.0,0.0,0.0,70000.0,83.0,0.0,0.2
1,33.0,Defender,208,1.75,right,1.0,4.0,1.25,1.0,1.0,0.0,0.0,1500.0,79.25,0.0,0.0
1,29.0,Defender,208,1.8,right,1.0,12.0,1.08,0.0,3.0,0.0,0.0,450.0,0.087083333,0.0,0.0
1,22.0,Defender,205,1.83,right,1.0,6.0,1.0,0.0,4.0,0.0,0.0,4500.0,74.0,0.0,0.0
1,30.0,Midfielder,207,1.88,right,2.0,8.0,2.63,0.0,1.0,0.0,0.0,25000.0,90.0,0.125,0.0
412,28.0,Midfielder,180,1.91,right,2.0,5.0,2.0,3.0,2.0,0.0,0.0,6000.0,35.2,0.0,0.0
1,33.0,Midfielder,205,1.75,right,0.0,8.0,1.63,0.0,2.0,0.0,0.0,4000.0,81.375,0.125,0.0
403,34.0,Midfielder,208,1.82,right,2.0,13.0,2.85,3.0,2.0,0.0,0.0,4000.0,70.46153846,0.0,0.1538461538461538
335,38.0,Midfielder,208,1.75,right,1.0,3.0,2.33,0.0,3.0,0.0,0.0,1000.0,57.33333333,0.0,0.0
425,23.0,Midfielder,208,1.85,right,3.0,7.0,2.57,4.0,2.0,0.0,0.0,35000.0,46.42857143,0.1428571428571428,0.1428571428571428
373,33.0,Midfielder,192,1.69,right,3.0,7.0,1.86,3.0,2.0,0.0,0.0,2000.0,55.85714286,0.1428571428571428,0.1428571428571428
1,36.0,Midfielder,208,1.72,both,1.0,6.0,1.17,4.0,2.0,0.0,0.0,1000.0,30.83333333,0.0,0.3333333333333333
1,25.0,Midfielder,183,1.74,right,2.0,13.0,1.0,5.0,7.0,0.0,0.0,500.0,51.46153846,0.0769230769230769,0.0769230769230769
1,32.0,Forward,195,1.74,left,0.0,13.0,2.31,0.0,5.0,0.0,0.0,15000.0,0.085538462,0.3076923076923077,0.3846153846153846
1,27.0,Forward,183,1.73,right,2.0,6.0,1.17,4.0,2.0,0.0,0.0,17000.0,35.0,0.0,0.0
299,27.0,Forward,208,1.79,left,2.0,5.0,2.4,5.0,0.0,0.0,0.0,800.0,22.4,0.0,0.2
1,33.0,Forward,207,1.81,right,2.0,12.0,1.58,5.0,2.0,0.0,0.0,8000.0,58.91666667,0.25,0.0
387,27.0,Forward,208,1.86,right,6.0,9.0,2.11,1.0,4.0,0.0,0.0,45000.0,76.11111111,0.3333333333333333,0.2222222222222222
409,32.0,Forward,208,1.77,right,1.0,4.0,0.5,3.0,1.0,0.0,0.0,8000.0,22.0,0.25,0.0
1,24.0,Forward,208,1.8,right,1.0,11.0,2.09,8.0,3.0,0.0,0.0,3000.0,28.90909091,0.0,0.0909090909090909
427,31.0,Defender,202,1.9,right,2.0,14.0,2.36,1.0,0.0,0.0,0.0,25000.0,0.084071429,0.1428571428571428,0.0
415,35.0,Defender,209,1.78,right,1.0,5.0,1.8,0.0,2.0,0.0,0.0,2000.0,78.4,0.0,0.0
416,28.0,Defender,191,1.87,right,0.0,1.0,3.0,1.0,0.0,0.0,0.0,30000.0,26.0,0.0,0.0
1,29.0,Defender,210,1.9,right,1.0,5.0,1.4,0.0,0.0,0.0,0.0,25000.0,90.0,0.0,0.0
1,31.0,Defender,168,1.85,right,1.0,5.0,1.2,4.0,0.0,0.0,0.0,1600.0,32.0,0.0,0.0
1,31.0,Defender,170,1.84,right,3.0,5.0,1.4,0.0,2.0,0.0,0.0,800.0,88.0,0.0,0.0
1,24.0,Defender,208,1.82,right,2.0,10.0,0.9,0.0,0.0,0.0,0.0,45000.0,90.0,0.1,0.0
1,33.0,Defender,209,1.88,left,1.0,6.0,1.17,2.0,0.0,0.0,0.0,2000.0,76.66666667,0.0,0.0
409,30.0,Defender,203,1.76,left,2.0,9.0,1.22,1.0,6.0,0.0,0.0,12000.0,68.22222222,0.0,0.0
379,30.0,Defender,135,1.79,left,2.0,13.0,1.62,0.0,3.0,0.0,0.0,2000.0,0.087307692,0.2307692307692307,0.0769230769230769
1,28.0,Defender,168,1.84,right,1.0,8.0,1.63,0.0,1.0,0.0,0.0,12000.0,85.5,0.0,0.0
1,31.0,Defender,208,1.8,right,0.0,1.0,1.0,0.0,0.0,0.0,0.0,100.0,90.0,0.0,0.0
1,33.0,Midfielder,210,1.68,right,0.0,6.0,2.5,0.0,2.0,0.0,0.0,9000.0,84.83333333,0.0,0.0
411,32.0,Midfielder,203,1.78,right,1.0,5.0,2.6,2.0,1.0,0.0,0.0,12000.0,55.0,0.0,0.0
379,30.0,Midfielder,210,1.89,right,1.0,5.0,1.2,3.0,2.0,0.0,0.0,2000.0,37.2,0.0,0.0
1,24.0,Midfielder,183,1.82,right,3.0,8.0,1.75,0.0,2.0,0.0,0.0,16000.0,81.125,0.0,0.0
428,30.0,Midfielder,199,1.77,right,3.0,9.0,2.56,1.0,3.0,0.0,0.0,30000.0,77.77777778,0.3333333333333333,0.0
365,30.0,Midfielder,208,1.89,right,0.0,12.0,2.42,9.0,1.0,0.0,0.0,8000.0,39.16666667,0.0,0.1666666666666666
408,28.0,Midfielder,208,1.91,right,0.0,10.0,1.7,3.0,2.0,0.0,0.0,25000.0,63.9,0.0,0.0
410,29.0,Midfielder,199,1.88,right,1.0,11.0,1.55,4.0,3.0,0.0,0.0,13000.0,60.18181818,0.0909090909090909,0.0909090909090909
1,29.0,Midfielder,208,1.82,right,1.0,8.0,1.75,5.0,2.0,0.0,0.0,1800.0,33.0,0.125,0.125
415,24.0,Midfielder,208,1.82,right,5.0,9.0,2.0,3.0,3.0,0.0,0.0,50000.0,64.22222222,0.2222222222222222,0.0
1,24.0,Midfielder,208,1.72,left,2.0,15.0,1.6,1.0,5.0,0.0,0.0,250.0,0.078533333,0.0,0.0
410,32.0,Midfielder,203,1.82,right,1.0,10.0,1.6,1.0,5.0,0.0,0.0,6000.0,71.6,0.1,0.2
1,30.0,Midfielder,207,1.82,right,1.0,7.0,1.14,0.0,4.0,0.0,0.0,1200.0,82.42857143,0.0,0.1428571428571428
386,36.0,Forward,207,1.75,right,1.0,5.0,1.4,5.0,0.0,0.0,0.0,2000.0,34.6,0.0,0.0
1,23.0,Forward,208,1.78,right,2.0,9.0,1.44,3.0,5.0,0.0,0.0,22000.0,65.44444444,0.1111111111111111,0.0
1,28.0,Forward,207,1.8,left,3.0,1.0,1.5143660090423348,1.0,0.0,0.0,0.0,1000.0,5.0,0.0,0.0
408,26.0,Forward,196,1.77,right,3.0,11.0,1.55,0.0,7.0,0.0,0.0,50000.0,81.81818182,0.6363636363636364,0.2727272727272727
400,37.0,Forward,209,1.67,both,1.0,6.0,2.0,4.0,1.0,0.0,0.0,1000.0,37.16666667,0.3333333333333333,0.3333333333333333
1,33.0,Forward,168,1.77,right,1.0,5.0,1.4,2.0,0.0,0.0,0.0,1000.0,61.8,0.2,0.0
408,31.0,Forward,209,1.89,right,4.0,9.0,1.78,3.0,5.0,0.0,0.0,16000.0,59.88888889,0.2222222222222222,0.1111111111111111
369,31.0,Forward,204,1.85,right,3.0,13.0,2.0,11.0,1.0,0.0,0.0,8000.0,32.0,0.3076923076923077,0.1538461538461538
408,27.0,Forward,208,1.94,right,1.0,9.0,1.56,4.0,5.0,0.0,0.0,25000.0,48.55555556,0.1111111111111111,0.2222222222222222
369,28.0,Defender,200,1.87,right,3.0,8.0,2.75,0.0,2.0,0.0,0.0,18000.0,85.5,0.125,0.125
352,35.0,Defender,204,1.87,right,1.0,11.0,1.82,0.0,0.0,0.0,0.0,2800.0,90.0,0.1818181818181818,0.0909090909090909
426,30.0,Defender,208,1.91,right,1.0,3.0,2.33,3.0,0.0,0.0,0.0,10000.0,10.33333333,0.0,0.0
346,37.0,Defender,204,1.89,left,1.0,2.0,3.0,0.0,0.0,0.0,0.0,1500.0,90.0,0.0,0.0
387,31.0,Defender,183,1.81,left,1.0,3.0,3.0,0.0,0.0,0.0,0.0,10000.0,90.0,0.0,0.0
372,26.0,Defender,196,1.83,right,5.0,7.0,3.0,0.0,1.0,0.0,0.0,14000.0,89.28571429,0.0,0.0
