player_id,name,player_club,age,position,goalkeeper_or_not,nationality,player_height,player_agent,strong_foot,contract_value_time,appearances,PPG,goals,assists,own_goals,substitutions_on,substitutions_off,yellow_cards,second_yellow_cards,red_cards,goals_conceded,clean_sheet,penalty_goals,minutes_per_goal,minutes_played,old_market_value,market_value
176553,Aymeric Laporte,Al-Nassr,30.0,Centre-Back,0,Spain,1.91,,left,,11.0,2.36,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,492.0,984.0,20.0,20000.0
186590,John Stones,Man City,30.0,Centre-Back,0,England,1.88,Wasserman,"
                            Aug 9, 2016                        ",2026.0,7.0,2.71,2.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,209.0,418.0,38.0,38000.0
54781,Nicolás Otamendi,Benfica,36.0,Centre-Back,0,Argentina,1.83,Gestifute,right,2025.0,8.0,2.75,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,635.0,635.0,1.0,1000.0
145707,Danilo,Juventus,33.0,Centre-Back,0,Brazil,1.84,,right,2025.0,6.0,2.17,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,249.0,7.0,7000.0
90681,Eliaquim Mangala,Estoril Praia,33.0,Centre-Back,0,France,1.87,,left,2025.0,6.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,381.0,400.0,400.0
340460,Philippe Sandler,NEC Nijmegen,27.0,Centre-Back,0,Netherlands,1.9,Team Raiola,"
                            Aug 11, 2022                        ",2029.0,1.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,3.0,3000.0
210178,Pablo Marí,Monza,31.0,Centre-Back,0,Spain,1.93,AC Talent,left,2025.0,10.0,1.3,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,885.0,3.5,3500.0
282199,Erik Palmer-Brown,Panathinaikos,27.0,Centre-Back,0,United States,1.86,,right,2027.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1200.0
466794,Eric García,Barcelona,23.0,Centre-Back,0,Spain,1.82,,right,2026.0,9.0,2.33,0.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,448.0,20.0,20000.0
277723,Cameron Humphreys,Rotherham,26.0,Centre-Back,0,England,1.87,Unique Sports Group,right,2025.0,15.0,1.13,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.305,1.305,900.0,900.0
157495,Benjamin Mendy,FC Lorient,30.0,Left-Back,0,France,1.85,Sport Cover,"
                            Jul 19, 2023                        ",2025.0,,,,,,2.0,,,,,0.0,0.0,,,,1.5,1500.0
203853,Oleksandr Zinchenko,Arsenal,27.0,Left-Back,0,Ukraine,1.75,,left,2026.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,35.0,35000.0
95424,Kyle Walker,Man City,34.0,Right-Back,0,England,1.78,,right,2026.0,7.0,2.43,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390.0,13.0,13000.0
382553,Luke Bolton,Wrexham,25.0,Right-Back,0,England,1.74,,right,2026.0,2.0,1.5,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,500.0,500.0
26267,Fernandinho,Athletico-PR,39.0,Defensive Midfield,0,Brazil,1.79,,right,2024.0,,,,,,,,,,,0.0,0.0,,,,400.0,400.0
114365,Luke Brattan,Macarthur,34.0,Defensive Midfield,0,Australia,1.75,The Pitch Management,right,2025.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,450.0,450.0
395239,Claudio Gomes,Palermo,24.0,Defensive Midfield,0,France,1.71,Footinveston,right,2027.0,11.0,1.36,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,848.0,2.9,2900.0
53622,İlkay Gündoğan,Man City,33.0,Central Midfield,0,Germany,1.8,,right,2025.0,9.0,2.33,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,601.0,601.0,12.0,12000.0
261504,Aleix García,B. Leverkusen,27.0,Central Midfield,0,Spain,1.73,,right,2029.0,10.0,2.5,0.0,1.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,506.0,20.0,20000.0
447661,Douglas Luiz,Juventus,26.0,Central Midfield,0,Brazil,1.77,Bertolucci Sports,right,2029.0,9.0,2.33,0.0,0.0,0.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,312.0,55.0,55000.0
103559,Mix Diskerud,Without Club,34.0,Central Midfield,0,United States,1.84,Rispect Sports ...,right,,,,,,,,,,,,0.0,0.0,,,,150.0,150.0
406640,Felix Nmecha,Bor. Dortmund,24.0,Central Midfield,0,Germany,1.9,,"
                            Jul 3, 2023                        ",2028.0,10.0,1.9,2.0,1.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0,333.0,20.0,20000.0
466802,Adrián Bernabé,Parma,23.0,Central Midfield,0,Spain,1.7,,left,2027.0,8.0,0.88,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,709.0,15.0,15000.0
484551,Taylor Richards,Cambridge Utd.,23.0,Central Midfield,0,England,1.8,Wasserman,left,2025.0,2.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,350.0,350.0
